station_id,station_name,municipality,location,altitude_masl,year,parameter,annual_mean_value,n_months_with_data
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2019,precipitazione,2.382686705506989,12
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2019,pressione,,0
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2019,temperatura,4.699467721902372,12
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2019,umidit_relativa,,0
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2020,precipitazione,2.3761432455815106,12
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2020,pressione,,0
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2020,temperatura,4.84832220986281,12
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2020,umidit_relativa,,0
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2021,precipitazione,2.593069789628929,12
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2021,pressione,,0
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2021,temperatura,3.931131084803221,12
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2021,umidit_relativa,,0
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2022,precipitazione,1.906442652329749,12
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2022,pressione,,0
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2022,temperatura,5.474383000512033,12
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2022,umidit_relativa,,0
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2023,precipitazione,3.719764464925755,12
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2023,pressione,,0
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2023,temperatura,5.261971326164875,12
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2023,umidit_relativa,,0
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2024,precipitazione,4.271714456391876,12
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2024,pressione,,0
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,1837,2024,temperatura,5.134014954888148,12
