station_id,station_full,station_municipality,station_location,station_latitude,station_longitude,altitude_mslm,date,precipitazione,pressione,temperatura,umidit_relativa
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-01,0,,3.6,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-02,0,,1.4,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-03,0,,-4.9,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-04,0,,-3.4,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-05,0,,2,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-06,0,,,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-07,0,,,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-08,0,,,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-09,0,,-5,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-10,0,,-7.9,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-11,0,,-6.9,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-12,0,,-0.6,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-13,8.6,,2.6,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-14,2.6,,-0.9,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-15,0,,-1.7,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-16,0,,-2,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-17,0,,-4.4,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-18,0,,-7.7,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-19,0,,-7.3,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-20,0,,-8.2,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-21,0,,-7.9,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-22,0,,-7.8,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-23,0,,-8.9,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-24,0,,-8.4,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-25,0,,-7.8,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-26,0,,-1.4,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-27,1,,-3.8,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-28,0,,-6.5,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-29,0,,-8.9,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-30,0,,-9,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-01-31,1.6,,-8.2,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-01,4.6,,-6.1,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-02,0.6,,-3.2,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-03,0,,-4.2,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-04,0,,-6,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-05,0,,-2.4,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-06,0,,-0.7,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-07,0,,-1.1,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-08,0,,-3.1,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-09,0,,-1.8,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-10,1.4,,-2.6,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-11,0.2,,-4.7,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-12,0,,-2.1,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-13,0,,0.5,
3550,Gressoney-la-Trinit - D'Ejola,Gressoney-la-Trinit,D'Ejola,45.8561,7.81496,1837,2019-02-14,0,,2.6,
